question_id,construct_id,block_name,question_type
QID10,QID10,Forward Flow,TE
QID11,QID11,Demographics,MC
QID117,QID117,Economic preferences,MC
QID118,QID118,Economic preferences,MC
QID119,QID119,Economic preferences,MC
QID12,QID12,Demographics,MC
QID120,QID120,Economic preferences,MC
QID121,QID121,Economic preferences,MC
QID122,QID122,Economic preferences,MC
QID123,QID123,Cognitive tests,TE
QID124,QID124,Cognitive tests,TE
QID125_r1,QID125,Personality,Matrix
QID125_r10,QID125,Personality,Matrix
QID125_r11,QID125,Personality,Matrix
QID125_r12,QID125,Personality,Matrix
QID125_r13,QID125,Personality,Matrix
QID125_r14,QID125,Personality,Matrix
QID125_r15,QID125,Personality,Matrix
QID125_r16,QID125,Personality,Matrix
QID125_r17,QID125,Personality,Matrix
QID125_r18,QID125,Personality,Matrix
QID125_r19,QID125,Personality,Matrix
QID125_r2,QID125,Personality,Matrix
QID125_r20,QID125,Personality,Matrix
QID125_r21,QID125,Personality,Matrix
QID125_r3,QID125,Personality,Matrix
QID125_r4,QID125,Personality,Matrix
QID125_r5,QID125,Personality,Matrix
QID125_r6,QID125,Personality,Matrix
QID125_r7,QID125,Personality,Matrix
QID125_r8,QID125,Personality,Matrix
QID125_r9,QID125,Personality,Matrix
QID126,QID126,Personality,MC_multi
QID128,QID128,Personality,MC_multi
QID129,QID129,Personality,MC_multi
QID13,QID13,Demographics,MC
QID130,QID130,Personality,MC_multi
QID131,QID131,Personality,MC_multi
QID132,QID132,Personality,MC_multi
QID133,QID133,Personality,MC_multi
QID134,QID134,Personality,MC_multi
QID136,QID136,Personality,MC_multi
QID137,QID137,Personality,MC_multi
QID138,QID138,Personality,MC_multi
QID139,QID139,Personality,MC_multi
QID14,QID14,Demographics,MC
QID140,QID140,Personality,MC_multi
QID141,QID141,Personality,MC_multi
QID142,QID142,Personality,MC_multi
QID143,QID143,Personality,MC_multi
QID144,QID144,Personality,MC_multi
QID145,QID145,Personality,MC_multi
QID146,QID146,Personality,MC_multi
QID147,QID147,Personality,MC_multi
QID148,QID148,Personality,MC
QID149,QID149,Economic preferences,MC
QID15,QID15,Demographics,MC
QID150,QID150,Economic preferences,MC
QID151,QID151,Economic preferences,MC
QID152,QID152,Economic preferences,MC
QID16,QID16,Demographics,MC
QID17,QID17,Demographics,MC
QID18,QID18,Demographics,MC
QID19,QID19,Demographics,MC
QID20,QID20,Demographics,MC
QID21,QID21,Demographics,MC
QID217,QID217,Cognitive tests,MC
QID218,QID218,Cognitive tests,MC
QID219,QID219,Cognitive tests,MC
QID22,QID22,Demographics,MC
QID220,QID220,Cognitive tests,MC
QID221,QID221,Cognitive tests,MC_multi
QID224,QID224,Economic preferences,MC
QID225,QID225,Economic preferences,MC
QID226,QID226,Economic preferences,MC
QID227,QID227,Economic preferences,MC
QID228,QID228,Economic preferences,MC
QID229,QID229,Economic preferences,MC
QID23,QID23,Demographics,MC
QID230,QID230,Economic preferences,MC
QID231,QID231,Economic preferences,MC
QID232_r1,QID232,Personality,Matrix
QID232_r10,QID232,Personality,Matrix
QID232_r11,QID232,Personality,Matrix
QID232_r12,QID232,Personality,Matrix
QID232_r13,QID232,Personality,Matrix
QID232_r14,QID232,Personality,Matrix
QID232_r15,QID232,Personality,Matrix
QID232_r16,QID232,Personality,Matrix
QID232_r17,QID232,Personality,Matrix
QID232_r18,QID232,Personality,Matrix
QID232_r19,QID232,Personality,Matrix
QID232_r2,QID232,Personality,Matrix
QID232_r20,QID232,Personality,Matrix
QID232_r3,QID232,Personality,Matrix
QID232_r4,QID232,Personality,Matrix
QID232_r5,QID232,Personality,Matrix
QID232_r6,QID232,Personality,Matrix
QID232_r7,QID232,Personality,Matrix
QID232_r8,QID232,Personality,Matrix
QID232_r9,QID232,Personality,Matrix
QID233_r1,QID233,Personality,Matrix
QID233_r10,QID233,Personality,Matrix
QID233_r11,QID233,Personality,Matrix
QID233_r12,QID233,Personality,Matrix
QID233_r13,QID233,Personality,Matrix
QID233_r14,QID233,Personality,Matrix
QID233_r15,QID233,Personality,Matrix
QID233_r16,QID233,Personality,Matrix
