person_id,n_total_answers,n_missing_answers,n_answered_personality,n_answered_economic,n_answered_cognitive,n_answered_demographics,n_ordinal_items,n_categorical_items,n_text_items,n_multi_select_items,ordinal_mean_normalized,ordinal_std_normalized,ordinal_midpoint_rate,ordinal_extreme_rate,ordinal_acquiescence,straightlining_max_repeat_rate,bfi_44_mean_norm,bfi_44_n_items,bfi_18_mean_norm,bfi_18_n_items,autonomy_cognition_mean_norm,autonomy_cognition_n_items,personal_values_mean_norm,personal_values_n_items,self_monitoring_mean_norm,self_monitoring_n_items,self_monitoring_binary_mean_norm,self_monitoring_binary_n_items,regulatory_focus_mean_norm,regulatory_focus_n_items,bai_anxiety_mean_norm,bai_anxiety_n_items,bai_sum_score,self_concept_mean_norm,self_concept_n_items,need_uniqueness_mean_norm,need_uniqueness_n_items,need_closure_mean_norm,need_closure_n_items,personality_traits_5pt_mean_norm,personality_traits_5pt_n_items,maximization_mean_norm,maximization_n_items,uncertainty_beliefs_mean_norm,uncertainty_beliefs_n_items,risk_sensitivity_personality_mean_norm,risk_sensitivity_personality_n_items,self_regulation_mean_norm,self_regulation_n_items,spending_scale,spending_difficulty,spending_anxiety,shopper_type,weight_loss_intention,dictator_game_position,ultimatum_offer_position,trust_game_send_position,trust_return_mean_position,ultimatum_reject_rate,hedonic_framing_mean,loss_aversion_risky_choices,loss_aversion_risky_rate,crt_score,crt_total_attempted,numeracy_score,numeracy_total_attempted,financial_literacy_score,financial_literacy_total,vocabulary_synonym_score,vocabulary_synonym_total,vocabulary_antonym_score,vocabulary_antonym_total,vocabulary_total_score,spatial_n_attempted,wason_correct,wason_n_selected,forward_flow_word_count,demo_region,demo_sex,demo_age,demo_education,demo_race,demo_citizenship,demo_occupation,demo_religion,demo_religiosity,demo_political_party,demo_income,demo_political_views,demo_household_size,demo_employment,gt_score_extraversion,gt_score_agreeableness,gt_score_conscientiousness_w1,gt_score_conscientiousness_w2,gt_score_openness,gt_score_neuroticism,gt_score_needforcognition,gt_score_agency,gt_score_communion,gt_score_minimalism,gt_score_BES,gt_score_GREEN,gt_crt_score,gt_score_fluid,gt_score_crystallized,gt_score_syllogism,gt_score_actual_total,gt_score_overconfidence,gt_score_overplacement,gt_score_ultimatum_sender,gt_score_ultimatum_accepted,gt_score_mentalaccounting,gt_score_socialdesirability,gt_score_anxiety,gt_score_HI,gt_score_HC,gt_score_VI,gt_score_VC,gt_score_finliteracy,gt_score_numeracy,gt_score_deductive_certainty,gt_score_forwardflow,gt_score_discount,gt_score_presentbias,gt_score_riskaversion,gt_score_trustgame_sender,gt_score_trustgame_receiver,gt_score_RFS,gt_score_ST_TW,gt_score_depression,gt_score_CNFU,gt_score_selfmonitor,gt_score_SCC,gt_score_needforclosure,gt_score_maximization,gt_score_wason,gt_score_dictator_sender
00a1r,537,0,278,179,65,14,326,168,22,21,0.5956427391626778,0.2468989230118189,0.1625766871165644,0.3650306748466257,3.0736196319018405,0.9523809523809524,0.6727272727272727,44,0.5444444444444445,18,0.6714285714285715,10,0.6527777777777778,24,0.4583333333333333,8,0.6538461538461539,13,0.7833333333333333,12,0.2619047619047619,21,22.0,0.5399999999999999,20,0.6375,16,0.5500000000000002,12,0.7000000000000001,6,0.7051282051282052,13,0.4833333333333333,12,0.7200000000000001,15,0.6333333333333333,6,3.0,1.0,4.0,4.0,1.0,3.0,3.0,9.0,4.0,0.0,1.5,1,0.1111111111111111,6,7,3,6,4,5,6,10,9,10,15,6,0.0,2.0,20,1.0,1.0,3.0,3.0,1.0,1.0,3.0,9.0,6.0,3.0,1.0,3.0,1.0,2.0,3.375,4.444,4.556,8.0,4.6,2.75,3.833,4.667,7.083,3.917,3.8,3.5,3.0,4.0,7.0,5.0,19.0,11.0,6.0,60.0,100.0,100.0,10.0,1.0,3.75,4.0,1.75,3.25,4.0,7.0,4.0,0.845,-0.971,0.237,0.122,60.0,59.0,4.7,8.0,4.0,2.75,2.846,3.917,3.6,3.167,2.0,60.0
0cy1x,537,0,278,179,65,14,326,168,22,21,0.5677852311287894,0.2727081862940202,0.0858895705521472,0.4263803680981595,2.871165644171779,0.8571428571428571,0.6681818181818181,44,0.5000000000000001,18,0.6714285714285715,10,0.5370370370370371,24,0.5138888888888888,8,0.7307692307692307,13,0.6833333333333332,12,0.2976190476190476,21,25.0,0.5799999999999998,20,0.55,16,0.3000000000000001,12,0.8000000000000002,6,0.4743589743589742,13,0.4333333333333334,12,0.4533333333333334,15,0.4666666666666667,6,5.0,2.0,3.0,4.0,2.0,1.0,3.0,8.0,5.75,0.1666666666666666,1.5,7,0.7777777777777778,6,7,5,6,5,5,10,10,9,10,19,6,0.0,3.0,20,4.0,1.0,3.0,3.0,1.0,1.0,6.0,9.0,6.0,3.0,2.0,3.0,1.0,4.0,4.0,3.444,4.556,8.0,3.7,1.75,3.278,3.083,6.583,3.417,4.1,4.0,3.0,4.0,8.0,9.0,24.0,7.0,-2.0,60.0,83.333,100.0,4.0,4.0,3.75,3.25,1.25,2.75,6.0,8.0,4.0,0.897,1062793.353,-0.148,0.311,100.0,33.0,4.7,12.0,3.0,1.5,2.462,4.333,2.267,2.333,3.0,60.0
0di48,537,0,278,179,65,14,326,168,22,21,0.6390373004636808,0.2772446264359754,0.1104294478527607,0.4570552147239264,3.3098159509202456,1.0,0.618181818181818,44,0.6111111111111112,18,0.6142857142857142,10,0.8194444444444443,24,0.486111111111111,8,0.7307692307692307,13,0.8000000000000002,12,0.2857142857142857,21,24.0,0.62,20,0.925,16,0.5333333333333333,12,1.0,6,0.7564102564102566,13,0.4166666666666667,12,0.7466666666666667,15,0.6666666666666666,6,9.0,4.0,1.0,1.0,2.0,5.0,6.0,6.0,5.0,0.0,1.75,7,0.7777777777777778,5,7,4,6,5,5,4,10,1,10,5,6,0.0,2.0,20,3.0,2.0,1.0,6.0,2.0,1.0,2.0,4.0,4.0,1.0,5.0,3.0,2.0,1.0,1.875,4.667,5.0,8.0,3.1,1.875,3.611,6.333,8.417,4.0,3.8,5.0,4.0,0.0,3.0,7.0,14.0,8.0,4.0,0.0,100.0,75.0,12.0,3.0,5.0,4.25,4.5,4.75,5.0,6.0,3.0,0.897,1501199876836558.0,0.022,0.522,20.0,49.0,4.3,23.0,4.0,2.667,3.154,4.417,3.733,3.333,2.0,40.0
0ifq6,537,0,278,179,65,14,326,168,22,21,0.5165084234102639,0.3156503103089219,0.156441717791411,0.6779141104294478,2.5276073619631902,1.0,0.4909090909090909,44,0.5666666666666668,18,0.3999999999999999,10,0.2546296296296296,24,0.5555555555555556,8,0.7692307692307693,13,0.7000000000000001,12,0.25,21,21.0,0.53,20,0.525,16,0.3166666666666667,12,0.1999999999999999,6,0.4230769230769231,13,0.35,12,0.7733333333333334,15,0.6000000000000001,6,6.0,2.0,3.0,4.0,1.0,6.0,3.0,16.0,8.5,0.3333333333333333,1.75,3,0.3333333333333333,7,7,4,6,3,5,7,10,8,10,15,6,0.0,2.0,20,3.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,1.25,1.667,3.0,0.0,1.6,1.5,1.167,2.833,1.75,3.5,1.95,1.0,4.0,4.0,7.0,9.0,24.0,-3.0,-4.0,60.0,66.667,75.0,3.0,0.0,4.75,1.5,2.75,1.5,5.0,8.0,4.0,0.799,4.429,-0.033,0.556,0.0,0.0,2.8,7.0,12.0,1.583,2.231,4.917,3.867,3.0,2.0,0.0
0ldjp,537,0,278,179,65,14,326,168,22,21,0.6818220165996239,0.2055880000906967,0.2576687116564417,0.2668711656441718,3.4877300613496933,0.5384615384615384,0.6681818181818181,44,0.6444444444444444,18,0.7428571428571428,10,0.8055555555555555,24,0.5555555555555556,8,0.7307692307692307,13,0.7666666666666667,12,0.6666666666666666,21,56.0,0.74,20,0.6875,16,0.6499999999999999,12,0.7333333333333334,6,0.717948717948718,13,0.75,12,0.6666666666666667,15,0.7666666666666666,6,6.0,3.0,4.0,4.0,2.0,3.0,3.0,5.0,5.5,0.0,1.25,4,0.4444444444444444,5,7,0,6,1,5,3,10,4,10,7,6,0.0,1.0,20,3.0,1.0,2.0,6.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,4.0,3.0,1.0,3.125,2.778,2.667,2.0,3.5,2.75,3.111,7.25,7.25,3.833,3.3,3.667,3.0,0.0,3.0,4.0,10.0,8.0,4.0,60.0,100.0,75.0,4.0,35.0,3.75,3.5,2.75,3.75,3.0,2.0,3.0,0.444,1258092.815,0.179,0.489,60.0,44.0,5.2,7.0,0.0,3.25,2.615,2.417,3.333,3.833,3.0,80.0
0xhxd,537,0,278,179,65,14,326,168,22,21,0.6554192229038855,0.2837516923798041,0.0306748466257668,0.4263803680981595,3.3773006134969323,1.0,0.6363636363636362,44,0.5555555555555556,18,0.7857142857142856,10,0.6527777777777777,24,0.5416666666666666,8,0.8076923076923077,13,0.7666666666666667,12,0.3571428571428571,21,30.0,0.59,20,0.8375,16,0.4000000000000001,12,0.7333333333333333,6,0.717948717948718,13,0.5833333333333334,12,0.96,15,0.5666666666666667,6,1.0,1.0,2.0,5.0,2.0,6.0,6.0,16.0,8.5,0.3333333333333333,1.75,2,0.2222222222222222,7,7,4,6,3,5,5,10,3,10,8,6,0.0,2.0,20,4.0,1.0,4.0,3.0,1.0,1.0,2.0,9.0,6.0,1.0,2.0,2.0,2.0,1.0,3.25,2.667,4.222,8.0,3.3,3.125,1.667,4.583,7.167,3.833,4.15,3.667,4.0,1.0,4.0,6.0,15.0,10.0,0.0,0.0,66.667,75.0,2.0,9.0,5.0,3.0,3.75,5.0,5.0,8.0,4.0,0.822,0.0,0.0,0.367,0.0,0.0,5.5,7.0,5.0,2.0,3.077,3.417,4.8,2.833,2.0,0.0
17cwz,537,0,278,179,65,14,326,168,22,21,0.659081243398728,0.2574071535281293,0.1226993865030674,0.401840490797546,3.371165644171779,0.6666666666666666,0.7818181818181817,44,0.6222222222222222,18,0.7,10,0.6064814814814815,24,0.5555555555555556,8,0.7692307692307693,13,0.5333333333333333,12,0.4047619047619047,21,34.0,0.6500000000000001,20,0.6875,16,0.7333333333333334,12,0.8666666666666667,6,0.7435897435897435,13,0.7833333333333332,12,0.6799999999999999,15,0.5333333333333333,6,6.0,3.0,3.0,2.0,2.0,5.0,4.0,9.0,5.0,0.0,1.25,6,0.6666666666666666,6,7,3,6,4,5,9,10,6,10,15,6,1.0,2.0,20,3.0,2.0,2.0,5.0,5.0,1.0,1.0,10.0,6.0,2.0,5.0,4.0,3.0,4.0,3.75,3.0,3.889,8.0,4.8,3.25,4.333,4.167,6.75,2.667,3.75,4.333,1.0,1.0,5.0,6.0,13.0,17.0,-5.0,40.0,100.0,75.0,1.0,13.0,4.75,3.25,2.25,3.5,4.0,7.0,3.0,0.823,20772.845,-0.021,-0.111,20.0,45.0,4.9,10.0,20.0,3.667,2.692,2.083,3.4,2.667,4.0,40.0
1b3hy,536,0,278,178,65,14,326,168,21,21,0.6012494194626097,0.3043952593402955,0.0429447852760736,0.5797546012269938,3.085889570552147,1.0,0.6227272727272727,44,0.6222222222222223,18,0.7857142857142858,10,0.662037037037037,24,0.486111111111111,8,0.8076923076923077,13,0.8000000000000002,12,0.2619047619047619,21,22.0,0.5599999999999999,20,0.7,16,0.2,12,0.8333333333333334,6,0.6153846153846154,13,0.3333333333333334,12,0.9466666666666668,15,0.4000000000000001,6,7.0,3.0,2.0,1.0,2.0,4.0,4.0,9.0,5.0,0.1666666666666666,1.5,2,0.2222222222222222,5,7,3,6,5,5,10,10,9,10,19,6,0.0,2.0,20,3.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,6.0,3.0,1.0,4.0,1.0,7.0,2.75,4.778,4.778,6.0,3.6,1.375,3.889,3.833,8.083,4.0,4.4,4.167,3.0,0.0,8.0,6.0,17.0,18.0,-5.0,40.0,83.333,50.0,6.0,1.0,5.0,5.0,1.0,3.0,6.0,5.0,4.0,0.797,0.0,0.0,0.411,40.0,45.0,5.5,19.0,1.0,1.0,2.538,5.0,4.733,2.0,2.0,40.0
1njfu,537,0,278,179,65,14,326,168,22,21,0.6138171644306614,0.2338304731121971,0.2024539877300613,0.3312883435582822,3.1533742331288344,0.625,0.6818181818181819,44,0.5555555555555557,18,0.7,10,0.5601851851851852,24,0.6527777777777778,8,0.6923076923076923,13,0.6333333333333334,12,0.3452380952380952,21,29.0,0.6199999999999999,20,0.6,16,0.4333333333333334,12,0.7333333333333334,6,0.6794871794871794,13,0.5,12,0.6799999999999999,15,0.8333333333333334,6,6.0,2.0,3.0,4.0,1.0,4.0,4.0,8.0,4.75,0.0,1.5,2,0.2222222222222222,5,7,5,6,5,5,9,10,8,10,17,6,0.0,1.0,20,4.0,2.0,2.0,5.0,2.0,1.0,6.0,10.0,5.0,3.0,5.0,4.0,4.0,4.0,2.625,3.333,3.222,3.0,4.1,3.375,3.111,4.667,5.417,3.167,4.6,3.667,3.0,4.0,7.0,9.0,23.0,11.0,4.0,40.0,100.0,100.0,3.0,8.0,4.25,3.25,2.0,2.5,6.0,7.0,4.0,0.818,0.0,0.008,0.172,40.0,48.0,4.9,7.0,13.0,2.167,2.769,3.5,3.4,4.167,3.0,40.0
1o3dm,537,0,278,179,65,14,326,168,22,21,0.5996280347123906,0.2583103299110162,0.0552147239263803,0.3711656441717791,3.076687116564417,0.6666666666666666,0.7000000000000001,44,0.6111111111111112,18,0.7142857142857142,10,0.6064814814814814,24,0.5694444444444444,8,0.8076923076923077,13,0.4666666666666666,12,0.3928571428571428,21,33.0,0.6199999999999999,20,0.6375,16,0.3833333333333333,12,0.8999999999999999,6,0.6666666666666666,13,0.4333333333333333,12,0.4266666666666667,15,0.5666666666666667,6,4.0,2.0,3.0,4.0,2.0,4.0,4.0,9.0,5.0,0.3333333333333333,1.5,2,0.2222222222222222,4,7,3,6,4,5,9,10,9,10,18,6,0.0,2.0,20,3.0,1.0,2.0,3.0,4.0,1.0,6.0,9.0,6.0,2.0,1.0,5.0,3.0,2.0,1.25,3.444,3.0,4.0,4.3,2.875,4.056,4.417,6.5,2.333,4.4,4.5,2.0,4.0,9.0,5.0,20.0,14.0,6.0,40.0,66.667,100.0,4.0,12.0,4.75,4.0,1.25,2.75,6.0,6.0,4.0,0.851,350.002,0.056,-0.067,40.0,45.0,5.0,11.0,20.0,1.917,2.462,3.833,2.133,2.833,2.0,40.0
