person_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49
00a1r,2.7821896,-0.9382026,-2.2078445,-1.1785669,-0.48329642,0.38168904,1.3514782,-1.0945711,-0.6544749,-3.4236102,-0.08936092,-0.852796,-1.8129597,-1.3789072,1.6576191,-0.907535,-1.4008949,0.7426069,-0.14182708,-0.35483685,0.2815548,0.65665716,0.542476,0.22025828,0.57526654,-1.3997009,-3.4291854,0.7535758,-0.42699713,-2.8195605,-0.8172802,0.82738733,-0.5776181,1.4716287,-0.3916852,0.75340205,-1.1128199,-1.2473078,1.3673646,0.77533627,-0.24783933,0.43400264,-0.4854564,-0.70441407,1.8291045,-0.6776279,-3.427099,0.020711463,1.3666109,-0.5703301
0cy1x,-0.676604,-6.289825,-5.535192,-3.6382246,-0.4413285,-0.663285,1.465302,1.4756414,0.6936464,-0.63785136,1.2061093,-1.3851078,-3.3383045,-3.3512938,2.6855311,2.4706247,3.618913,-1.0522908,1.2299082,0.7256575,-1.4961889,-0.98497254,-0.83777046,2.4625626,0.21600117,0.8450524,0.9024547,-0.50720084,-0.9397861,1.3840117,-0.7314069,0.42124826,0.5569427,0.6757962,-0.20551403,1.406223,-2.5099523,0.60388446,0.46862978,-0.89141625,-0.7922249,0.20146833,-0.08578937,1.3750023,0.96129155,0.9599525,1.0352756,1.2359083,0.48216373,-0.38125244
0di48,4.9522495,-0.4446572,5.7005086,2.3713236,0.20920296,2.1431775,2.9583652,0.38754955,-0.932929,2.3027415,-1.1096606,0.12222534,4.5216503,1.4515704,-0.851204,1.5860614,-0.5624174,-1.7016103,-1.3221099,0.68778414,2.045828,2.1863875,1.7622693,-1.7597524,-0.3690806,1.7962304,-1.1441365,0.4739451,0.9758447,-2.5152566,2.2675478,-0.7475126,-1.7345129,1.9829857,-1.7206416,0.45088533,1.0231515,0.23797232,2.325197,-1.9765719,0.14772119,-1.5605129,1.1285652,0.5314088,-1.6548026,-0.20805518,2.1130028,1.8429923,-0.0023694166,-1.8108854
0ifq6,-18.468035,-14.1023445,-1.7437167,5.545101,3.923572,-0.9355289,-2.4332638,4.6728683,-1.4403026,0.67818445,-0.041449495,1.0288378,-0.08778403,-1.2176756,-1.9525101,-1.5976195,0.434158,0.92911744,-1.13742,-1.555694,-1.4977531,-1.9872682,-0.9727466,-0.4760394,3.7904139,1.8130254,-2.028966,-2.249862,-1.0996748,2.1077433,0.31039938,0.5641325,3.2055683,0.8205565,-0.32773933,-1.036345,1.3069323,-0.34689555,1.0050641,0.9016248,0.060556766,0.5589629,2.9527574,-1.4509351,-0.356544,-0.55536014,-1.5959316,-0.15428182,-1.6812494,0.11915728
0ldjp,-7.2199173,10.478096,-0.87341374,5.1981688,-4.1182685,4.031959,-1.1906645,6.4226036,2.4091966,1.4023392,1.2468878,-1.5145223,-3.9889557,0.38157186,-3.1008494,3.7204494,2.8434124,-1.445403,-1.4298509,1.7317101,-2.8823533,-2.1807704,-1.2288468,-2.6359878,-1.8264937,2.1418972,-3.3297207,3.4384582,0.9810578,0.40232632,-1.1574537,0.7041096,-5.097278,1.3530174,-2.8563223,3.0738902,-2.985058,1.7142432,1.7948058,1.9877636,0.30909345,3.1987782,2.4477189,-1.980874,1.7902089,-1.4343652,0.671922,0.9279344,-1.4651775,1.0091358
0xhxd,-4.490264,0.683165,5.7010546,0.03327484,6.26018,-3.8447757,-1.0629277,-0.6227007,-1.1901282,0.072660424,4.4222617,-0.33723372,-2.1336572,0.53584725,3.7308686,3.1704822,1.3816202,1.3062961,-4.459641,0.14117898,1.7523586,0.3988459,-1.7785546,1.1395633,-2.656419,1.4874026,-1.1303753,0.2973775,-1.5925021,0.4813654,-0.07494422,2.099876,-3.1314795,-2.2136736,-1.1397331,4.096482,0.9562795,0.8211676,0.88191724,-0.28604308,-1.0326986,-0.076429665,-4.16964,0.98517305,-2.9978442,-1.8726807,-1.3948542,1.0474464,-1.9615318,-1.0177555
17cwz,-0.27693638,5.895405,-5.945125,1.6997806,1.0186272,2.3988779,-0.2244492,0.77141243,-3.0306635,-4.321756,-0.86374,1.5120541,0.9024822,0.2701271,2.5109127,4.7962036,1.0918461,-0.81648535,0.78164715,-4.527075,1.2027345,2.0817473,-0.9580629,-2.4018211,0.70812887,2.2016108,-2.1760805,2.1600401,-0.119378574,-1.6617945,0.7269011,-3.071263,0.64684147,-1.0486268,-0.553371,-0.41712305,0.15401977,0.63664126,1.6092013,-0.5655419,-0.12411545,-0.57520163,-1.2856735,-1.4850533,1.2850976,1.4075555,-0.029680626,-3.9615948,1.1107877,-0.9400108
1b3hy,4.522287,-4.1473894,0.9786748,-6.2149606,0.9003318,-0.091589026,1.2395167,-2.4277875,-0.46867475,0.89065045,1.1623778,0.6830792,-1.5692363,-1.9791018,-2.854888,-0.5109959,-1.5504116,-1.4205297,0.9640033,0.04070071,-0.06673083,2.3774889,-0.6883147,0.29950973,-0.026203109,0.1756802,0.07303181,-0.3939147,0.319091,0.08641626,-1.6359377,-3.0234249,-0.08177411,0.5182381,0.8726295,1.0068926,2.102611,-0.43146256,1.1695727,0.0038064343,0.48212737,0.84295774,-0.32808366,1.5456171,0.17807506,-1.2723161,-0.30747414,-1.4940873,1.2280564,-1.8426437
1njfu,-4.0645313,1.6165608,-4.9417152,-2.4036803,0.86763334,-2.5455377,1.5986068,0.92463833,-0.20015924,0.3889584,-1.2507665,-1.6777467,0.97323394,0.21726206,0.6469864,0.57232916,0.3835898,-0.71291596,-0.5327884,-1.6311485,-1.5421716,-2.9866989,0.73088807,0.11805863,1.6500282,-1.6538459,-0.45522335,0.71419877,0.69715697,1.6331049,-0.28341106,-0.3399475,-0.71709466,0.81752443,3.4361827,2.2122781,1.66271,-0.0892062,0.53473496,-0.19513947,0.4922453,-3.3087173,1.58278,-2.996613,-2.1360145,1.2856216,0.73250693,-0.5010157,-1.0765151,-1.9998139
1o3dm,-2.1147878,1.7788382,-7.712314,-2.7164361,-1.4932253,-0.89729315,2.0471396,-0.42101213,-3.5750146,1.1154948,1.4097642,-2.4074082,5.3077555,1.398792,-0.47824857,-0.43221086,-1.1365882,-1.9040414,1.3133202,0.47598064,-2.7212903,-1.0006694,-1.1577115,-3.1538115,-0.92007995,0.034921445,1.4793639,0.69453686,-0.82549566,-0.63925356,-0.730195,0.21478711,1.1138743,-2.4813058,-1.2759097,-0.6486602,1.1624444,-0.20182511,-0.24492349,-0.2326915,0.5317484,-0.11367939,0.60995424,-0.60716695,0.1829678,0.08965127,-0.532471,-1.0599942,-2.7463312,0.38709295
