person_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9
00a1r,2.7821896,-0.9382026,-2.2078445,-1.1785669,-0.48329642,0.38168904,1.3514782,-1.0945711,-0.6544749,-3.4236102
0cy1x,-0.676604,-6.289825,-5.535192,-3.6382246,-0.4413285,-0.663285,1.465302,1.4756414,0.6936464,-0.63785136
0di48,4.9522495,-0.4446572,5.7005086,2.3713236,0.20920296,2.1431775,2.9583652,0.38754955,-0.932929,2.3027415
0ifq6,-18.468035,-14.1023445,-1.7437167,5.545101,3.923572,-0.9355289,-2.4332638,4.6728683,-1.4403026,0.67818445
0ldjp,-7.2199173,10.478096,-0.87341374,5.1981688,-4.1182685,4.031959,-1.1906645,6.4226036,2.4091966,1.4023392
0xhxd,-4.490264,0.683165,5.7010546,0.03327484,6.26018,-3.8447757,-1.0629277,-0.6227007,-1.1901282,0.072660424
17cwz,-0.27693638,5.895405,-5.945125,1.6997806,1.0186272,2.3988779,-0.2244492,0.77141243,-3.0306635,-4.321756
1b3hy,4.522287,-4.1473894,0.9786748,-6.2149606,0.9003318,-0.091589026,1.2395167,-2.4277875,-0.46867475,0.89065045
1njfu,-4.0645313,1.6165608,-4.9417152,-2.4036803,0.86763334,-2.5455377,1.5986068,0.92463833,-0.20015924,0.3889584
1o3dm,-2.1147878,1.7788382,-7.712314,-2.7164361,-1.4932253,-0.89729315,2.0471396,-0.42101213,-3.5750146,1.1154948
1vec3,-8.927801,-2.7341285,2.3245528,1.3006448,-7.452677,0.7292137,2.3259869,-4.940033,0.7372442,-3.7348578
1z7bb,3.5740845,0.8857679,-5.8079166,-1.3511044,4.5805483,-3.4149456,1.3692508,-0.4252052,0.52756536,1.1339557
212kx,2.3620787,0.94791895,0.54263216,-1.1257132,5.360786,-0.89233863,-4.2219577,-2.6373022,5.3299413,-1.1753829
293vr,-4.2172327,2.1453989,2.9537735,-6.511619,-2.1697721,4.7852,1.1384691,-1.4359517,1.7500985,-0.5020265
29g1r,-0.3587198,-4.5854864,-1.148689,-2.03089,-2.133196,5.394658,0.2501196,-3.3905234,2.6101196,0.46646693
2bpor,-10.028254,-4.5948796,0.056424495,-4.2717133,6.9797144,2.7481263,3.9934046,0.46750596,0.3360925,0.8125345
2ea2g,-3.706037,-1.5077497,1.6917937,2.6421163,4.1461086,-0.71842635,-1.2025402,0.3675396,3.127905,-3.803007
2g6k8,5.894737,7.4174657,-2.7379708,-1.240415,0.13584921,4.920038,-4.7829456,3.9158618,2.880124,5.936175
2vz3n,4.531117,-0.26944312,4.817448,-0.9442477,-2.0919566,2.7081177,2.903191,-5.2990775,0.12743455,1.6954278
33a05,-8.0509815,-1.6258123,6.4831953,-3.285713,-3.1276114,-0.9758951,-2.761637,1.2302431,0.06692207,-4.034818
3biuj,7.789095,-3.8479881,-2.2365155,-1.1879654,2.228849,-0.98329556,-1.4913983,-2.4927304,-3.0856771,1.4101334
3d56s,9.91841,0.1611651,1.0393113,1.9257646,3.0103092,-3.2034872,-1.6632997,-1.6000743,-0.5619361,2.6803524
3uy58,0.62716895,-2.608316,3.7434201,-3.4869995,-5.4073315,-1.268829,-1.241026,-1.2011675,1.5981637,-3.3233905
3wglb,-2.1292508,-1.3396844,10.328988,-6.219984,0.87229115,-3.79173,-0.01609949,5.363258,2.3272214,-1.2000933
4kx6v,1.0096734,-5.500449,-2.3886244,-1.9777625,-9.607281,1.2146186,0.09777589,-2.387497,-4.392943,-2.7575655
