question_id,qemb_pca_0,qemb_pca_1,qemb_pca_2,qemb_pca_3,qemb_pca_4,qemb_pca_5,qemb_pca_6,qemb_pca_7,qemb_pca_8,qemb_pca_9,qemb_pca_10,qemb_pca_11,qemb_pca_12,qemb_pca_13,qemb_pca_14,qemb_pca_15,qemb_pca_16,qemb_pca_17,qemb_pca_18,qemb_pca_19,qemb_pca_20,qemb_pca_21,qemb_pca_22,qemb_pca_23,qemb_pca_24,qemb_pca_25,qemb_pca_26,qemb_pca_27,qemb_pca_28,qemb_pca_29,qemb_pca_30,qemb_pca_31,qemb_pca_32,qemb_pca_33,qemb_pca_34,qemb_pca_35,qemb_pca_36,qemb_pca_37,qemb_pca_38,qemb_pca_39,qemb_pca_40,qemb_pca_41,qemb_pca_42,qemb_pca_43,qemb_pca_44,qemb_pca_45,qemb_pca_46,qemb_pca_47,qemb_pca_48,qemb_pca_49,question_num_options,block_Cognitive tests,block_Demographics,block_Economic preferences,block_Personality,qtype_MC,qtype_Matrix,qtype_TE
QID11,0.34018895,0.19476293,-0.14123933,-0.051482383,-0.018924639,0.011490382,-0.25742215,0.14626816,-0.42103875,-0.09850007,-0.15863198,-0.1673408,0.15009454,0.036087923,-0.06452443,0.11569863,0.0077627613,0.016799591,0.13807838,0.20780492,-0.0834016,-0.18094434,-0.12349933,-0.03942816,0.1878966,-0.09891765,-0.053693462,-0.05176425,-0.11623011,-0.07094507,0.021570208,-0.118893124,0.05787354,-0.06894288,0.17885993,-0.05001873,0.032528203,0.03038259,-0.16089861,-0.0042232154,-0.16336413,-0.008144429,-0.012050718,0.05828462,0.12092496,-0.06714542,0.02010805,0.1912102,0.0069624977,-0.03502846,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
QID117,0.6348335,-0.20120391,-0.19625734,0.42553076,0.36064506,0.15391201,0.027456647,-0.1473606,0.1177387,-0.16352212,0.024800962,0.047050446,-0.08155688,-0.079863906,-0.09678268,-0.06601622,-0.09367803,-0.054274295,-0.044144172,0.045168247,-0.0031244028,0.071486875,-0.02877147,-0.033106584,0.07328724,-0.08939686,0.08019724,0.06575924,-0.08730176,0.029945478,-0.03284404,-0.0045505716,-0.050829012,0.05678756,-0.1599916,-0.006196821,0.003676108,0.07165365,-0.018343212,-0.032247048,0.025043117,-0.024401862,0.014067536,0.007850295,-0.043183148,-0.041928243,0.010715298,0.067765705,-0.029328452,-0.06685919,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
QID118,0.6259531,-0.19951774,-0.20705278,0.3375874,0.36367998,0.23917848,-0.009512274,-0.16884871,0.045231085,-0.015881363,-0.013264761,0.0775249,-0.012982292,-0.05094838,-0.09270976,-0.02599791,-0.0676982,-0.1315646,0.005216898,0.044655696,-0.053374417,-0.0022526023,-0.02936214,-0.040802687,0.09637,-0.15414697,0.0633885,-0.12457335,-0.05205027,0.055926293,-0.07018297,0.11113539,-0.095804565,-0.033741433,-0.13551565,-0.05582024,-0.11792279,0.065087155,0.00973721,-0.00990036,0.022240128,-0.015738651,0.04814764,-0.029941894,-0.06524304,-0.058358107,0.056953132,0.007187013,-0.01179587,-0.036701493,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
QID119,0.5920023,-0.10952916,-0.119949944,0.42250273,0.41861778,0.28253323,0.06763687,-0.101580776,0.112633914,-0.08161606,-0.077039465,-0.030691255,0.15536119,0.020016719,0.1325778,-0.08614552,-0.018717075,-0.030736754,0.10404724,0.06285948,0.03034551,-0.022003256,0.012548737,0.04000352,-0.03528837,0.011115517,-0.1087929,-0.046278194,0.0346927,0.08723087,0.004003225,0.06410036,-0.023907386,0.020495497,0.06119621,0.014377517,-0.111161776,-0.050169665,0.05198444,0.03955327,0.054085642,0.05745403,0.025847163,0.03602157,-0.013254037,-0.13415904,-0.037563484,0.014776108,0.002345816,0.14956269,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
QID12,0.41256404,-0.050957568,-0.12773885,0.0045702467,0.08332055,0.0458505,-0.0027695645,0.21823312,-0.31886452,-0.13502553,-0.16652474,-0.05217302,0.25973606,0.24033196,-0.19791625,-0.016175391,0.12889865,-0.033080105,0.09523475,-0.03683364,-0.20305191,0.1880836,0.1749038,0.07081583,0.009076066,0.105755866,0.2492012,0.0061612185,0.16366848,-0.15919724,-0.09050099,0.091956474,-0.08583495,0.12816526,-0.14243942,-0.109009035,0.10871454,-0.0807591,0.015824819,-0.060779504,0.14940427,0.019764628,-0.07350355,0.093359664,-0.031811394,-0.02839207,-0.03323479,0.11859061,0.07260397,0.07021867,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
QID120,0.598759,-0.13255401,-0.08715468,0.3847182,0.41858068,0.23617949,0.111139335,-0.121542715,0.10640563,-0.11379263,-0.079404965,-0.06599377,0.17946513,0.03364077,0.13051344,-0.10391799,0.009385106,-0.03853475,0.05836679,0.030600574,0.101226926,0.038227152,-0.017824465,0.0751029,-0.019536356,0.03580911,-0.070106894,-0.04902139,0.05251988,0.032557044,0.00582791,0.1048019,-0.07636461,-0.012475067,0.012615929,0.0531258,-0.064219214,-0.076501206,-0.01690739,0.04913947,0.017881073,0.0019564948,-0.036419585,0.10158466,0.054949444,-0.023934267,0.07663342,0.017984048,0.028611824,0.033777036,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
QID121,0.58641344,-0.10106795,-0.10242722,0.4259305,0.42348996,0.27536157,0.085602306,-0.111361496,0.11146776,-0.11716951,-0.07186826,-0.039440054,0.16339374,0.023424488,0.14137036,-0.0906086,-0.04726028,-0.010330742,0.04612422,-0.0039532846,0.0695382,-0.0080412375,0.03926509,0.087183945,-0.01584827,0.0368406,-0.057684604,-0.06403078,0.0060058283,0.028316818,-0.038855,0.051119223,-0.07514127,-0.007848299,-0.01851821,0.028029274,-0.043170262,-0.057235222,-0.022355076,0.035792995,0.020083152,-0.008785347,0.03577943,0.059752993,0.026588231,-0.051438585,-0.010571361,0.066031575,0.017197743,0.1058908,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
QID122,0.5735389,-0.12081695,-0.105257444,0.42850164,0.42502958,0.27631375,0.09333788,-0.13399234,0.12270319,-0.14007077,-0.09804597,-0.063055746,0.14249161,0.027723696,0.120106496,-0.11832119,-0.00031461744,-0.042834915,0.047979653,0.04986054,0.09970498,0.016185783,-0.022644317,0.092852436,-0.032027256,0.08095756,-0.06619881,-0.06644084,0.05254978,0.036441702,-0.030359196,0.078431964,-0.06779589,0.012242953,0.012435675,0.018921303,-0.060387768,-0.059516687,-0.022482833,0.035197273,0.011955403,0.012678938,-0.018837538,0.03812015,0.06594038,-0.010171821,0.056773692,0.06175832,0.0050042537,0.02519859,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
QID125_r1,0.5086926,0.45611346,0.04469978,-0.4886832,0.09710537,0.07137499,0.0011858788,-0.025894184,0.016550567,0.06890688,0.06222461,0.105946556,0.065339535,0.036492787,0.0135178035,0.051030226,-0.04586085,-0.09489307,0.0032161793,-0.02569277,0.017608814,-0.048939392,-0.053793184,-0.08529104,0.018001312,0.013839967,0.051040366,-0.06288651,0.05453517,0.061687674,-0.060212493,0.07158667,0.02527155,0.015620834,0.0022046985,0.0107640615,0.060354043,0.057815667,-0.12765925,0.10619476,-0.0012892536,0.075502396,-0.052266687,-0.0239432,0.018271746,-0.03196322,-0.058903586,0.056086343,0.07141741,0.052448355,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r10,0.50198084,0.44041446,-0.00022141845,-0.46100596,0.12158733,0.039931346,0.04108825,-0.006776509,0.08176101,0.010666532,0.037054956,-0.045039758,-0.022584058,0.099294774,-0.05898831,0.035536423,0.08540712,0.020374166,-0.028009366,-0.037815627,0.021617055,0.02872149,0.05308819,-0.03249832,-0.11012304,-0.007859028,-0.07437558,0.019060727,0.00044520188,-0.09301229,-0.0067701605,-0.017531967,-0.055027913,-0.19992104,-0.0029080664,-0.08266924,0.061646547,0.10532411,0.0148923425,-0.0077216653,-0.03700404,0.0673496,0.06469103,-0.04429837,-0.05241281,-0.02918675,-0.01549103,-0.0726685,-0.05482057,-0.13611667,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
