question_id,parent_question_id,block_name,question_type,selector,answer_type,question_text,sub_item_text,full_question,options,num_options
QID10,QID10,Forward Flow,TE,FORM,text,"On this page, starting with the word candle, your job is to write down the next word that follows in your mind from the previous word. Please put down only single words, and do not use proper nouns (such as names, brands, etc.). There is no right or wrong answer, just write the words as they come to your mind.",,"On this page, starting with the word candle, your job is to write down the next word that follows in your mind from the previous word. Please put down only single words, and do not use proper nouns (such as names, brands, etc.). There is no right or wrong answer, just write the words as they come to your mind.",,0
QID11,QID11,Demographics,MC,SAVR,ordinal,Which part of the United States do you currently live in?,,Which part of the United States do you currently live in?,"[""Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)"", ""Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)"", ""South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)"", ""West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)"", ""Pacific (HI, AK)""]",5
QID117,QID117,Economic preferences,MC,SAVR,ordinal,"Suppose you were given $5 and had to decide how much of this money to keep for yourself and how much to send to another (anonymous) person. Any amount you send to the other person would then be tripled. That is, if you send $1, this becomes $3. If you send $2, this becomes $6, etc. Then, the other person would have to decide how much of that money to keep and how much to return to you. That is, if you send $1, this would become $3 and the other person would have to decide how much of this $3 to keep for themself and how much to send back to you. In this scenario, how much would keep for yourself and how much would you send to the other person?",,"Suppose you were given $5 and had to decide how much of this money to keep for yourself and how much to send to another (anonymous) person. Any amount you send to the other person would then be tripled. That is, if you send $1, this becomes $3. If you send $2, this becomes $6, etc. Then, the other person would have to decide how much of that money to keep and how much to return to you. That is, if you send $1, this would become $3 and the other person would have to decide how much of this $3 to keep for themself and how much to send back to you. In this scenario, how much would keep for yourself and how much would you send to the other person?","[""I would keep $0 for myself and send $5 to the other person."", ""I would keep $1 for myself and send $4 to the other person."", ""I would keep $2 for myself and send $3 to the other person."", ""I would keep $3 for myself and send $2 to the other person."", ""I would keep $4 for myself and send $1 to the other person."", ""I would keep $5 for myself and send $0 to the other person.""]",6
QID118,QID118,Economic preferences,MC,SAVR,ordinal,"Suppose now that you are playing this game as the other person, i.e., the receiver. For each amount that you may receive, how much would you keep for yourself and how much would send back to the other person? If the person sends me $5 (which would become $15):",,"Suppose now that you are playing this game as the other person, i.e., the receiver. For each amount that you may receive, how much would you keep for yourself and how much would send back to the other person? If the person sends me $5 (which would become $15):","[""I would keep $0 for myself and send $15 to the other person."", ""I would keep $1 for myself and send $14 to the other person."", ""I would keep $2 for myself and send $13 to the other person."", ""I would keep $3 for myself and send $12 to the other person."", ""I would keep $4 for myself and send $11 to the other person."", ""I would keep $5 for myself and send $10 to the other person."", ""I would keep $6 for myself and send $9 to the other person."", ""I would keep $7 for myself and send $8 to the other person."", ""I would keep $8 for myself and send $7 to the other person."", ""I would keep $9 for myself and send $6 to the other person."", ""I would keep $10 for myself and send $5 to the other person."", ""I would keep $11 for myself and send $4 to the other person."", ""I would keep $12 for myself and send $3 to the other person."", ""I would keep $13 for myself and send $2 to the other person."", ""I would keep $14 for myself and send $1 to the other person."", ""I would keep $15 for myself and send $0 to the other person.""]",16
QID119,QID119,Economic preferences,MC,SAVR,ordinal,If the person sends me $4 (which would become $12):,,If the person sends me $4 (which would become $12):,"[""I would keep $0 for myself and send $12 to the other person."", ""I would keep $1 for myself and send $11 to the other person."", ""I would keep $2 for myself and send $10 to the other person."", ""I would keep $3 for myself and send $9 to the other person."", ""I would keep $4 for myself and send $8 to the other person."", ""I would keep $5 for myself and send $7 to the other person."", ""I would keep $6 for myself and send $6 to the other person."", ""I would keep $7 for myself and send $5 to the other person."", ""I would keep $8 for myself and send $4 to the other person."", ""I would keep $9 for myself and send $3 to the other person."", ""I would keep $10 for myself and send $2 to the other person."", ""I would keep $11 for myself and send $1 to the other person."", ""I would keep $12 for myself and send $0 to the other person.""]",13
QID12,QID12,Demographics,MC,SAVR,ordinal,What is the sex that you were assigned at birth?,,What is the sex that you were assigned at birth?,"[""Male"", ""Female""]",2
QID120,QID120,Economic preferences,MC,SAVR,ordinal,If the person sends me $3 (which would become $9):,,If the person sends me $3 (which would become $9):,"[""I would keep $0 for myself and send $9 to the other person."", ""I would keep $1 for myself and send $8 to the other person."", ""I would keep $2 for myself and send $7 to the other person."", ""I would keep $3 for myself and send $6 to the other person."", ""I would keep $4 for myself and send $5 to the other person."", ""I would keep $5 for myself and send $4 to the other person."", ""I would keep $6 for myself and send $3 to the other person."", ""I would keep $7 for myself and send $2 to the other person."", ""I would keep $8 for myself and send $1 to the other person."", ""I would keep $9 for myself and send $0 to the other person.""]",10
QID121,QID121,Economic preferences,MC,SAVR,ordinal,If the person sends me $2 (which would become $6):,,If the person sends me $2 (which would become $6):,"[""I would keep $0 for myself and send $6 to the other person."", ""I would keep $1 for myself and send $5 to the other person."", ""I would keep $2 for myself and send $4 to the other person."", ""I would keep $3 for myself and send $3 to the other person."", ""I would keep $4 for myself and send $2 to the other person."", ""I would keep $5 for myself and send $1 to the other person."", ""I would keep $6 for myself and send $0 to the other person.""]",7
QID122,QID122,Economic preferences,MC,SAVR,ordinal,If the person sends me $1 (which would become $3):,,If the person sends me $1 (which would become $3):,"[""I would keep $0 for myself and send $3 to the other person."", ""I would keep $1 for myself and send $2 to the other person."", ""I would keep $2 for myself and send $1 to the other person."", ""I would keep $3 for myself and send $0 to the other person.""]",4
QID123,QID123,Cognitive tests,TE,SL,text,You just answered 42 questions that measured your performance on various cognitive tests. How many of these questions do you think you answered correctly? Enter a whole number between 0 and 42.,,You just answered 42 questions that measured your performance on various cognitive tests. How many of these questions do you think you answered correctly? Enter a whole number between 0 and 42.,,0
