person_id,Form A _1,1_Q295,2_Q295,3_Q295,4_Q295,5_Q295,6_Q295,7_Q295,8_Q295,9_Q295,10_Q295,11_Q295,12_Q295,13_Q295,14_Q295,15_Q295,16_Q295,17_Q295,18_Q295,19_Q295,20_Q295,21_Q295,22_Q295,23_Q295,24_Q295,25_Q295,26_Q295,27_Q295,28_Q295,29_Q295,30_Q295,31_Q295,32_Q295,33_Q295,34_Q295,35_Q295,36_Q295,37_Q295,38_Q295,39_Q295,40_Q295,base_rate,outcome_bias,sunk_cost,Allais,disease,linda,african,redwood,absolute,Myside,less_is_more,Thaler,matching
person_id,"A panel of psychologist have interviewed and administered personality tests to 30 engineers and 70 lawyers, all successful in their respective fields. On the basis of this information, thumbnail descriptions of the 30 engineers and 70 lawyers have been written. Below is one description, chosen at random from the 100 available descriptions. 

Jack is a 45-year-old man. He is married and has four children. He is generally conservative, careful, and ambitious. He shows no interest in political and social issues and spends most of his free time on his many hobbies which include home carpentry, sailing, and mathematical puzzles.

The probability that Jack is one of the 30 engineers in the sample of 100 is ___%. Please indicate the probability on a scale from 0 to 100.","1 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","2 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","3 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","4 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","5 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","6 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","7 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","8 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","9 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","10 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","11 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","12 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","13 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","14 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","15 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","16 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","17 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","18 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","19 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","20 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","21 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","22 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","23 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","24 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","25 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","26 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","27 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","28 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","29 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","30 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","31 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","32 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","33 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","34 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","35 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","36 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","37 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","38 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","39 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?","40 - (PLEASE DO NOT REFRESH THIS PAGE)
QUESTION [CurrentLoopNumber] OF [TotalLoops]:

 

Please consider the following product category: .

 

Suppose you are in a grocery store, and you see the following product in that category: 

 

The product is priced at: 

 Would you or would you not purchase the product?",base_rate,outcome_bias,sunk_cost,Allais,disease,linda,african,redwood,absolute,Myside,less_is_more,Thaler,matching
,"{""ImportId"":""QID154_1""}","{""ImportId"":""1_QID295""}","{""ImportId"":""2_QID295""}","{""ImportId"":""3_QID295""}","{""ImportId"":""4_QID295""}","{""ImportId"":""5_QID295""}","{""ImportId"":""6_QID295""}","{""ImportId"":""7_QID295""}","{""ImportId"":""8_QID295""}","{""ImportId"":""9_QID295""}","{""ImportId"":""10_QID295""}","{""ImportId"":""11_QID295""}","{""ImportId"":""12_QID295""}","{""ImportId"":""13_QID295""}","{""ImportId"":""14_QID295""}","{""ImportId"":""15_QID295""}","{""ImportId"":""16_QID295""}","{""ImportId"":""17_QID295""}","{""ImportId"":""18_QID295""}","{""ImportId"":""19_QID295""}","{""ImportId"":""20_QID295""}","{""ImportId"":""21_QID295""}","{""ImportId"":""22_QID295""}","{""ImportId"":""23_QID295""}","{""ImportId"":""24_QID295""}","{""ImportId"":""25_QID295""}","{""ImportId"":""26_QID295""}","{""ImportId"":""27_QID295""}","{""ImportId"":""28_QID295""}","{""ImportId"":""29_QID295""}","{""ImportId"":""30_QID295""}","{""ImportId"":""31_QID295""}","{""ImportId"":""32_QID295""}","{""ImportId"":""33_QID295""}","{""ImportId"":""34_QID295""}","{""ImportId"":""35_QID295""}","{""ImportId"":""36_QID295""}","{""ImportId"":""37_QID295""}","{""ImportId"":""38_QID295""}","{""ImportId"":""39_QID295""}","{""ImportId"":""40_QID295""}","{""ImportId"":""base_rate""}","{""ImportId"":""outcome_bias""}","{""ImportId"":""sunk_cost""}","{""ImportId"":""Allais""}","{""ImportId"":""disease""}","{""ImportId"":""linda""}","{""ImportId"":""african""}","{""ImportId"":""redwood""}","{""ImportId"":""absolute""}","{""ImportId"":""Myside""}","{""ImportId"":""less_is_more""}","{""ImportId"":""Thaler""}","{""ImportId"":""matching""}"
3d56s,70,"Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product",30,success,yes,2,gain,no_conjunction,low,low,jacket,Germany,C,WTA_certainty,1
qn6ki,30,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product",30,failure,no,1,gain,no_conjunction,high,low,jacket,Ford,A,WTP_non_certainty,1
ridfr,86,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product",30,failure,no,1,loss,conjunction,high,low,calculator,Ford,C,WTA_certainty,2
g0rj9,75,"Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product",30,success,yes,2,gain,no_conjunction,high,high,calculator,Ford,C,WTA_certainty,2
8ka4n,,"Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product",70,success,yes,2,gain,no_conjunction,low,high,calculator,Ford,C,WTA_certainty,2
lwvjc,,"Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product",70,failure,yes,1,loss,no_conjunction,low,low,jacket,Germany,B,WTP_non_certainty,2
3wglb,30,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",30,failure,no,2,gain,conjunction,low,high,calculator,Ford,B,WTP_certainty,1
vlxvq,70,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product",30,success,yes,1,gain,no_conjunction,high,high,jacket,Ford,B,WTP_non_certainty,1
